iter	MultiClass
0	1.648090949
1	1.540636015
2	1.432696424
3	1.346110348
4	1.271611928
5	1.202607761
6	1.151513049
7	1.104913689
8	1.061137578
9	1.021300923
10	0.9849383464
11	0.9485808241
12	0.9175189072
13	0.8916482018
14	0.8665586
15	0.8453990196
16	0.8251774847
17	0.8011770777
18	0.7787292606
19	0.7588075905
20	0.7411334593
21	0.7215278812
22	0.7044123195
23	0.6909382701
24	0.67855749
25	0.6638229644
26	0.6500275421
27	0.6358097728
28	0.6222186705
29	0.610705124
30	0.5966782817
31	0.586027897
32	0.5769495981
33	0.5657449954
34	0.5568833693
35	0.5477723124
36	0.5387573009
37	0.5289810361
38	0.5221896981
39	0.5149830745
40	0.5073965187
41	0.4996679118
42	0.4935158848
43	0.485588585
44	0.4793280462
45	0.4746732057
46	0.467711551
47	0.4616214516
48	0.4549906827
49	0.4483141059
50	0.443864645
51	0.4393182891
52	0.4338123666
53	0.4301151517
54	0.4245955108
55	0.4192502725
56	0.4139492774
57	0.4098256598
58	0.4065262208
59	0.4019259468
60	0.3980723913
61	0.3944727354
62	0.3889749642
63	0.3846105349
64	0.3817280118
65	0.3768529939
66	0.3725546643
67	0.3696992857
68	0.3660602034
69	0.3620767459
70	0.3581985999
71	0.3551969221
72	0.3515012005
73	0.3469683448
74	0.3435496903
75	0.3403267301
76	0.3371163603
77	0.3339977314
78	0.3318094501
79	0.3286233841
80	0.3261325178
81	0.3232045331
82	0.3193823692
83	0.3161167573
84	0.3131846822
85	0.3103989019
86	0.3074060285
87	0.3034372902
88	0.3003184724
89	0.2984500789
90	0.2949629302
91	0.2928221812
92	0.2895394835
93	0.2868946849
94	0.2857149382
95	0.2823184703
96	0.2806760035
97	0.2787116103
98	0.2761884866
99	0.2748437732
100	0.2733927025
101	0.2719493798
102	0.2699551812
103	0.2686376077
104	0.2667457374
105	0.265217102
106	0.2636654721
107	0.2626661851
108	0.2610131686
109	0.2594505744
110	0.258236686
111	0.2567736451
112	0.2558568707
113	0.2538711957
114	0.2518716909
115	0.2500760461
116	0.2485082506
117	0.2467979331
118	0.2455671108
119	0.2437373106
120	0.2424984535
121	0.2411140344
122	0.2399067488
123	0.2387079396
124	0.2371078612
125	0.236263931
126	0.2348650458
127	0.2335589969
128	0.2328410578
129	0.2307766348
130	0.2294504798
131	0.2277736026
132	0.2265192694
133	0.2251780823
134	0.2245417998
135	0.2239961167
136	0.2226379597
137	0.2209581992
138	0.2201032666
139	0.2195373948
140	0.2190704804
141	0.2185177398
142	0.2174669596
143	0.2165400936
144	0.2156367961
145	0.214649259
146	0.2140287925
147	0.2132533653
148	0.2121203699
149	0.2112767173
150	0.2098281437
151	0.2089131651
152	0.2078052879
153	0.2070469565
154	0.2063757119
155	0.2053996576
156	0.2050054511
157	0.2041576279
158	0.2036346045
159	0.2024926785
160	0.2018184431
161	0.2011098311
162	0.2007593646
163	0.200038434
164	0.1997620152
165	0.1991662099
166	0.1984776444
167	0.1978338776
168	0.1969712804
169	0.1961756163
170	0.1957008333
171	0.1950971604
172	0.1948912733
173	0.1946846017
174	0.1939641839
175	0.1936210953
176	0.1926486728
177	0.1919698716
178	0.1916362309
179	0.1911058268
180	0.1909062818
181	0.1902160219
182	0.1894082758
183	0.1888343751
184	0.1880734164
185	0.1877558098
186	0.1873208702
187	0.1869007452
188	0.1860444563
189	0.1857511284
190	0.1854362896
191	0.1844730773
192	0.1840010442
193	0.1831060153
194	0.1825111075
195	0.1821144792
196	0.1816141948
197	0.1810544197
198	0.180218511
199	0.1796493723
200	0.1792798459
201	0.1787003149
202	0.1781847802
203	0.1775597792
204	0.1770057845
205	0.1764549773
206	0.1762026465
207	0.1757956259
208	0.1755398077
209	0.1747686978
210	0.1743652226
211	0.1738239019
212	0.1735741689
213	0.1730162149
214	0.1726843551
215	0.1722481052
216	0.1714742069
217	0.1711926641
218	0.1703099271
219	0.169935664
220	0.1695218483
221	0.1689986267
222	0.1684763875
223	0.1680084433
224	0.1676570548
225	0.1672282999
226	0.1667294986
227	0.1662384151
228	0.1658187847
229	0.165564289
230	0.165082232
231	0.1647266195
232	0.1639576674
233	0.1636221369
234	0.1629291445
235	0.162686158
236	0.16212839
237	0.1616207858
238	0.1607625915
239	0.1599954356
240	0.1597084081
241	0.1594630044
242	0.1587770407
243	0.1583293291
244	0.1580284994
245	0.1575615622
246	0.157201437
247	0.1569902124
248	0.1565192191
249	0.156306703
250	0.1558001976
251	0.1554475649
252	0.1551635489
253	0.1549314842
254	0.1546490826
255	0.1539257054
256	0.1535879204
257	0.1533308664
258	0.1531609507
259	0.1527434288
260	0.1522644899
261	0.1518513936
262	0.151573971
263	0.1513722631
264	0.1509578682
265	0.1505052434
266	0.1502691787
267	0.1497768554
268	0.149559164
269	0.149342456
270	0.1487690308
271	0.1485228375
272	0.1482400431
273	0.1480580485
274	0.1476754583
275	0.1473524569
276	0.1470157504
277	0.1468558787
278	0.1466626704
279	0.1463109361
280	0.1457951204
281	0.1454828536
282	0.145365929
283	0.1452366631
284	0.1449275228
285	0.144673074
286	0.1443000874
287	0.1438530733
288	0.1435654737
289	0.1431460474
290	0.1428027508
291	0.1426387156
292	0.1421862974
293	0.1417411439
294	0.1412960653
295	0.1411394657
296	0.1406869837
297	0.1404334539
298	0.1401759434
299	0.1400859414
300	0.1398585881
301	0.1397026581
302	0.1395338737
303	0.1394057803
304	0.1391884234
305	0.1389540197
306	0.138838015
307	0.138513571
308	0.138360698
309	0.1379961646
310	0.1377629258
311	0.1375338357
312	0.1372555137
313	0.1368944643
314	0.1364916251
315	0.1362776739
316	0.1359214496
317	0.1357183171
318	0.1355766453
319	0.135305384
320	0.1351642797
321	0.135026972
322	0.1347902547
323	0.1345619525
324	0.1341308104
325	0.1340011989
326	0.1338629285
327	0.1336945921
328	0.1335925846
329	0.1333715286
330	0.1331682965
331	0.1330364518
332	0.1326159501
333	0.1323439361
334	0.1320063693
335	0.1318639772
336	0.1318262571
337	0.1315949307
338	0.1312358464
339	0.1311322937
340	0.1309629124
341	0.1307699476
342	0.1306494735
343	0.1304144811
344	0.1300885634
345	0.1298790676
346	0.1296683923
347	0.1293694766
348	0.1292454403
349	0.1290469929
350	0.1285961242
351	0.1283656714
352	0.1281383612
353	0.1277728789
354	0.1275990386
355	0.1275173135
356	0.1273272921
357	0.1270767878
358	0.126840406
359	0.1267540819
360	0.1265188586
361	0.1263902393
362	0.1261966584
363	0.1261095109
364	0.125939437
365	0.125804741
366	0.1256147373
367	0.1254422546
368	0.1253156691
369	0.1250559542
370	0.1248822353
371	0.1247390104
372	0.124336693
373	0.1242374716
374	0.1240596626
375	0.1236920118
376	0.1235134013
377	0.1232425371
378	0.1231327369
379	0.1229405643
380	0.1227915412
381	0.1223832017
382	0.1222869939
383	0.122078627
384	0.1219848096
385	0.1216719948
386	0.1214715685
387	0.1211945257
388	0.1210738694
389	0.1209563678
390	0.1208290262
391	0.120727319
392	0.1205425303
393	0.1203533296
394	0.1202617002
395	0.1200211845
396	0.11991206
397	0.119767074
398	0.1196889808
399	0.1195692338
