iter	Passed	Remaining
0	127	50932
1	172	34361
2	216	28634
3	259	25653
4	301	23807
5	344	22620
6	385	21650
7	427	20954
8	467	20324
9	509	19869
10	551	19507
11	592	19146
12	637	18982
13	684	18881
14	731	18787
15	776	18627
16	818	18436
17	860	18264
18	901	18077
19	944	17940
20	984	17759
21	1026	17640
22	1070	17546
23	1112	17427
24	1155	17338
25	1195	17200
26	1234	17056
27	1280	17018
28	1322	16919
29	1367	16859
30	1411	16796
31	1453	16710
32	1495	16632
33	1542	16605
34	1586	16545
35	1628	16468
36	1672	16410
37	1718	16375
38	1773	16418
39	1820	16382
40	1862	16306
41	1910	16282
42	1958	16262
43	2005	16228
44	2049	16168
45	2094	16116
46	2139	16069
47	2185	16030
48	2235	16013
49	2279	15954
50	2321	15885
51	2366	15837
52	2408	15770
53	2451	15707
54	2493	15638
55	2537	15587
56	2579	15524
57	2623	15472
58	2665	15405
59	2707	15340
60	2752	15294
61	2798	15254
62	2845	15219
63	2892	15187
64	2940	15155
65	2984	15105
66	3027	15046
67	3068	14980
68	3113	14933
69	3154	14871
70	3198	14821
71	3239	14757
72	3280	14695
73	3321	14632
74	3362	14570
75	3404	14512
76	3444	14450
77	3485	14390
78	3527	14334
79	3570	14282
80	3611	14223
81	3656	14180
82	3699	14128
83	3743	14080
84	3786	14034
85	3832	13992
86	3878	13953
87	3926	13921
88	3969	13869
89	4013	13825
90	4059	13785
91	4104	13739
92	4147	13691
93	4188	13635
94	4233	13592
95	4281	13557
96	4323	13504
97	4364	13449
98	4407	13401
99	4450	13350
100	4491	13297
101	4533	13243
102	4574	13191
103	4616	13138
104	4656	13082
105	4697	13030
106	4739	12979
107	4780	12926
108	4821	12872
109	4869	12836
110	4916	12800
111	4965	12768
112	5007	12718
113	5050	12670
114	5090	12615
115	5134	12570
116	5175	12519
117	5221	12478
118	5270	12446
119	5310	12391
120	5352	12340
121	5396	12295
122	5439	12250
123	5483	12204
124	5526	12157
125	5570	12112
126	5611	12063
127	5652	12010
128	5692	11959
129	5734	11910
130	5775	11859
131	5815	11807
132	5857	11759
133	5899	11709
134	5938	11656
135	5984	11617
136	6033	11582
137	6077	11538
138	6125	11501
139	6167	11453
140	6207	11402
141	6248	11352
142	6292	11309
143	6340	11271
144	6382	11223
145	6423	11174
146	6467	11131
147	6510	11085
148	6553	11040
149	6596	10993
150	6637	10944
151	6679	10897
152	6719	10848
153	6760	10799
154	6803	10753
155	6842	10702
156	6884	10656
157	6925	10606
158	6967	10560
159	7008	10512
160	7053	10470
161	7103	10436
162	7147	10391
163	7188	10345
164	7230	10298
165	7270	10248
166	7310	10199
167	7352	10154
